"Company","CDM","Status","Type","Geography","Public/ Private","Asset Types","PE AUM (billions)","RE AUM (billions)","Number of Sites","Rank","Tier","HQ Region","Frameworks","Notes","","BFO Company ID","BFO Company Name","Zoom Company ID","Zoom Company Name","Zoom Webiste","Email Domain","Contacts","Contact Types","Salesperson Tiered List","Status","","","","","PE OR RE","Tier List","","","","",""
"Carnelian Eenrgy","Rose Shaver","Hold Off","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Carnelian Energy","Rose Shaver","","","","","","","","","Missing Data","Tier 2","","-","","","","","","","","","0","","Rose Shaver","TRUE","","","","","","0","","","","",""
"Carnival Group International Holdings Limited","","","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Carr Properties","Dan Baldauf","Lost - Not Sold","Owner Operator","NAM","Public","Commercial Office","","","16","03","Not on Target List","North America","-","","","","CARR Properties","352073691","Carr Properties","www.carrprop.com","firstname.lastname@carrprop.com","0","","#N/A","#N/A","","","","","","0","","","","",""
"Carruth Capital","","","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Cars.com Inc","Kendal Etling","Hold Off","","","","","","","","Missing Data","Tier 2","","-","","","","","","","","","0","","Kendal Etling","TRUE","","","","","","0","","","","",""
"Carson Companies","Not targeting opportunity size","Client","Owner Operator","NAM","Private","Light Industrial/Logistics","","","","Not Targeting","Not on Target List","","-","Distribution","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"CarTrawler (a Towerbrook co.)","","","","","","","","","","Missing Data","Not on Target List","Not NAM","-","","","","","","","","","0","","#N/A","#N/A","","","","","","","","","","",""
"CashApp","Gretchen Bisig","","","","","","","","","Missing Data","Tier 2","","-","","","","","","","","","0","","Gretchen Bisig","TRUE","","","","","","0","","","","",""
"Castellana Properties Socimi, S.A.","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Castello S.g.r.","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Castello SGR S.p.A.","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Castellum AB","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, SBT, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Castleforge Partners Limited","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","United Kingdom","GRESB, NZAM, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Casto","","Hold Off","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Catalyst Capital LLP","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"CatchMark Timber Trust, Inc.","Not targeting opportunity size","Hold Off","","","","Specialty - Timber","","","","Not Targeting","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Catella Residential Investment Management GmbH","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Catena AB","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, SBT, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Cathay Life Insurance Co., Ltd.","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Catholic Health Services of LI ","Not targeting opportunity size","Hold Off","","State/Regional","","","","","","Not Targeting","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"CAVCO INDUSTRIES","Not targeting opportunity size","Hold Off","Developer","","","","","","","Not Targeting","Not on Target List","","CDP, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"CAVU Investment Partners (a Towerbrook co.)","","","","","","","","","","Missing Data","Not on Target List","North America","-","","","","","","","","","0","","#N/A","#N/A","","","","","","","","","","",""
"CBC Healthcare Infrastructure Management (Singapore) Pte. Ltd.","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"CBL Properties","Sam Ouimet","Inside Sales","Asset Management Firm","NAM","Public","Malls, Retail/Mixed Use","","","94","07","Tier 2","North America","CDP, -","public company with very little published about ESGNew ESG contact - Derek Young
 ","","","","8015631","CBL & Associates Properties Inc","www.cblproperties.com","firstname.lastname@cblproperties.com","0","-","Sam Ouimet","TRUE","","","","","","0","","","","",""
"","","","","","","","","","","","Not on Target List","","","","","","","","","","","","","","","","","","","","","","","","",""
"CBRE Inc (CBRE) - Headquarters Global","Dan Baldauf","Qualifying","Facility Manager","Global","Public","Commercial Office, Retail/Mixed Use, Light Industrial/Logistics, Multifamily, Hotels, Data Centers, Storage, Medical Office/Senior Living, Student Housing, Life Sciences, Strategic Account","","","761","06","Tier III","North America","CDP, -","SAE - Jimmy Sohal","","","CBRE Managed Services Ltd","","","","jordan.moat@cbre.com","0","-","#N/A","#N/A","","","","","","0","","","","",""
"CBTS (a Towerbrook co.)","","","","","","","","","","Missing Data","Not on Target List","North America","-","","","","","","","","","0","","#N/A","#N/A","","","","","","","","","","",""
"Cbus Property","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"CCLA Investment Management","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","United Kingdom","GRESB, NZAM, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"CCLA Investment Management Ltd","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"CCMP Capital Advisors","","","","","","","","","","Missing Data","Tier III","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"CDL Hospitality Trusts","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"CDP Immobiliare SGR SpA","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"CDP Real Asset SGR SpA","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"CDPQ","Cristy House","Hold Off","Asset Management Firm","","","","","","","Missing Data","Tier 2","","-","","","","","","","","","0","","Cristy House","TRUE","","","","","","0","","","","",""
"CDW","Rose Shaver","Hold Off","","","","","","","","Missing Data","Tier 2","","-","","","","","","","","","0","","Rose Shaver","TRUE","","","","","","0","","","","",""
"Cedar Pacific Investment Management Pty Ltd","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Cedar Realty Trust, (a Wheeler REIT Co.)","Cristy House","Hold Off","Owner Operator","State/Regional","Public","Retail/Mixed Use","","","60","03","Tier 2","North America","-","","","","","","","","","0","","Cristy House","TRUE","","","","","","0","","","","",""
"Centene","Sam Ouimet","","","","","","","","","Missing Data","Tier 1","","-","","","","","","","","","0","","Sam Ouimet","TRUE","","","","","","0","","","","",""
"Center Creek Capital Group","Not targeting opportunity size","Hold Off","","","Private","","","","","Not Targeting","Not on Target List","","-","Residential","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Center Square Data Centers","Kendal Etling","Hold Off","","","","","","","","Missing Data","Tier 2","","-","","","","","","","","","0","","Kendal Etling","TRUE","","","","","","0","","","","",""
"EHS Dormitory Investors","Dan Baldauf","Inside Sales","Asset Management Firm","NAM","Private","Multifamily","","","","Missing Data","Not on Target List","North America","GRESB, -","-","","","","","EHS Dormitory Investors LLC / Park Murray GP Co LLC","","","0","-","#N/A","#N/A","","","","","","0","","","","",""
"Centerspace","Dan Baldauf","Lost - Not Sold","Owner Operator","NAM","Private","Multifamily","","","69","03","Not on Target List","North America","GRESB, CDP, -","","","","","","Centerspace","","firstinitiallastname@centerspacehomes.com","0","","#N/A","#N/A","","","","","","0","","","","",""
"Centerview Partners","","","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Central Management Inc.","","","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"CENTRAL PATTANA PUBLIC COMPANY LIMITED","","","","","","","","","","Missing Data","Not on Target List","","SBT, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Centuria Capital Group","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"CENTURY COMMUNITIES","Not targeting opportunity size","Hold Off","Developer","","","","","","","Not Targeting","Not on Target List","","CDP, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Century Textile and industries Limited","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"CenturyLink (Lumen Technologies)","Rose Shaver","Hold Off","","","","","","","","Missing Data","Tier 2","","-","","","","","","","","","0","","Rose Shaver","TRUE","","","","","","0","","","","",""
"Cerebus","Cristy House","","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Elme Communities (formerly Washington REIT)","Dan Baldauf","Inside Sales","Owner Operator","NAM","Public","Multifamily","","2","20","01","Not on Target List","North America","-","","","","","566132212","Elme Communities","elmecommunities.com/","","0","-","#N/A","#N/A","","","","","","0","","","","",""
"Chamberlain","Rose Shaver","Hold Off","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Chamberlain (BX-PC)","Rose Shaver","","","","","","","","","Missing Data","Tier 2","","-","","","","","","","","","0","","Rose Shaver","TRUE","","","","","","0","","","","",""
"Chamberlain (BX)","Rose Shaver","","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Champion REIT","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Charles Schwab","Cristy House","","","","","","","","","Missing Data","Tier 2","","-","","","","","","","","","0","","Cristy House","TRUE","","","","","","0","","","","",""
"EMMES Realty Advisors","Dan Baldauf","Inside Sales","Asset Management Firm","Global","Public","Multifamily","","","400","07","Not on Target List","North America","-","-","","","EMMES Realty","12845828","EMMES Group","www.emmesco.com","","0","-","#N/A","#N/A","","","","","","0","","","","",""
"Equiton","Dan Baldauf","Inside Sales","Asset Management Firm","NAM","Private","Multifamily","","1.06","","Missing Data","Not on Target List","North America","GRESB, UN PRI, -","-","","","","368234734","Equiton Inc","equiton.com","firstinitiallastname@equiton.com","0","-","#N/A","#N/A","","","","","","0","","","","",""
"Chegg","Ally Temple","Hold Off","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Cherry Hill Mortgage Investment Corporation","","","","","","","","","","Missing Data","Not on Target List","","CDP, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Chesapeake Lodging Trust (a Park Hotels Co.)","Not target because of company owner","Lost - Not Sold","Owner Operator","","Private","Hotels","","","","Not Targeting","Not on Target List","North America","-","Rob Beckwith","","","Chesapeake Lodging Trust","398737828","","","firstname.lastname@pkhotelsandresorts.com","0","","#N/A","#N/A","","","","","","0","","","","",""
"Chesnut Holdings","Not targeting opportunity size","Hold Off","Owner Operator","State/Regional","Private","Multifamily - Residential","","","15","Not Targeting","Not on Target List","","-","Not a high end operation","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Equity International","Dan Baldauf","Inside Sales","Asset Management Firm","Global","Private","","","2","30","05","Not on Target List","North America","-","International Fund - Sam Zell is a big name but getting to the right person in this org. might be a challenge","","","","78776104","Equity International-Sponsored","http://www.equityinternational.com/","","0","-","#N/A","#N/A","","","","","","0","","","","",""
"Chicago Growth Partners","Kendal Etling","","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Chicago Pacific Founders","Kendal Etling","","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Childress Klein Properties","Not targeting opportunity size","Hold Off","Owner Operator","State/Regional","Private","Office, Retail, Multifamily, Industrial","","","130","Not Targeting","Not on Target List","","-","No sites in NY","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Chimera Investment Corp.","Not targeting opportunity size","Hold Off","","","","Mortgage REIT","","","","Not Targeting","Not on Target List","","CDP, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"China Aoyuan Property Group Limited","","","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"China Electronics Optics Valley Union Holding Company Limited","","","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"CHINA JINMAO HOLDINGS GROUP LIMITED","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"China Merchants Land Asset Management Co., Limited","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"China Merchants Land Limited","","","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"China Overseas Grand Oceans Group Limited","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"China Overseas Land & Investment Ltd.","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"China Resources Land","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"China SCE Property Holdings Limited","","","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"China Visionary Group","Not targeting hq not NAM","Hold Off","Asset Management Firm","","Private","","","","","Not Targeting","Not on Target List","Beijing","-","","","","","","","","","0","","#N/A","#N/A","","","","","#N/A","0","","","","",""
"Chinachem Group","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, SBT, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Chirisa","Rose Shaver","Hold Off","","","","","","","","Missing Data","Tier 2","","-","","","","","","","","","0","","Rose Shaver","TRUE","","","","","","0","","","","",""
"Chongbang Holdings (International) Ltd.","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Christie's","Gretchen Bisig","","","","","","","","","Missing Data","Tier 2","","-","","","","","","","","","0","","Gretchen Bisig","TRUE","","","","","","0","","","","",""
"CHS Capital","Kendal Etling","","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Chubb, Ltd.","Dan Baldauf","Inside Sales","","","","","","","","Missing Data","Tier 2","","-","","","","","","","","","0","","Dan Baldauf","TRUE","","","","","","0","","","","",""
"Chuo-Nittochi Asset Management Co., Ltd.","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Chuo-Nittochi Private REIT Inc.","","","","","","","","","","Missing Data","Not on Target List","","SBT, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Essential Properties","Dan Baldauf","Inside Sales","Owner Operator","","","Medical Office/Senior Living, Retail/Mixed Use, Light Industrial/Logistics","","","","Missing Data","Not on Target List","","CDP, -","","","","","419414983","Essential Properties Realty Trust Inc","","firstinitiallastname@essentialproperties.com","0","","#N/A","#N/A","","","","","","0","","","","",""
"CIBanco S.A. I.B.M. Fideicomiso F/00939 (Terrafina)","Not targeting opportunity size","Hold Off","Owner Operator","","Public","Indsutrial","","","","Not Targeting","Not on Target List","","-","Mexico","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"CIBC","Dan Baldauf","Inside Sales","","","","","","","","Missing Data","Tier 2","","-","","","","","","","","","0","","Dan Baldauf","TRUE","","","","","","0","","","","",""
"Cibus Nordic Real Estate AB (publ)","","","","","","","","","","Missing Data","Not on Target List","","SBT, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"CIFI Holdings (Group) Co. Ltd.","","","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Cigna","Cristy House","Hold Off","","","","","","","","Missing Data","Tier 1","","-","","","","","","","","","0","","Cristy House","TRUE","","","","","","0","","","","",""
"CIM Commercial Trust Corp","Not targeting opportunity size","Hold Off","Owner Operator","State/Regional","Public","Industrial/Office","","","10","Not Targeting","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"EverWest Real Estate Investors","Dan Baldauf","Inside Sales","Asset Management Firm","","","Multifamily","","","","Missing Data","Not on Target List","North America","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Cincinnati Financial","Gretchen Bisig","","","","","","","","","Missing Data","Tier 2","","-","","","","","","","","","0","","Gretchen Bisig","TRUE","","","","","","0","","","","",""
"CIO 2525 McKinnon, LP","Not targeting opportunity size","Client","","","","","","","","Not Targeting","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"CIP Real Estate (a Almanac co.)","Dan Baldauf","Hold Off","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","","","","","",""
"Cipher Mining Technologies Inc","Kendal Etling","","","","","","","","","Missing Data","Tier 2","","-","","","","","","","","","0","","Kendal Etling","TRUE","","","","","","0","","","","",""
"Federal Capital Partners (FCP)","Dan Baldauf","Inside Sales","Asset Management Firm","NAM","Private","Multifamily","","2","100","07","Not on Target List","North America","GRESB, UN PRI, -","","","","","45796314","Federal Capital Partners","www.fcpdc.com","firstname.lastname@fcpdc.com","0","-","#N/A","#N/A","","","","","","0","","","","",""
"Cirion (a Stonepeak Co.)","Other Pod","Client","Portfolio Company","","","","","","","Missing Data","Not on Target List","North America","NZAM, -","","","","STONEPEAK INFRASTRUCTURE PARTNERS","","","","ummat@stonepeak.com","0","","#N/A","#N/A","","","","","","0","","","","",""
"Cirrascale Clouid LLC","Rose Shaver","Hold Off","","","","","","","","Missing Data","Tier 2","","-","","","","","","","","","0","","Rose Shaver","TRUE","","","","","","0","","","","",""
"Citadel Care Centers ","Not targeting opportunity size","Hold Off","","State/Regional","","","","","","Not Targeting","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Citi Bank","","","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Citi Realty Services","Not targeting opportunity size","Hold Off","","","","","","","","Not Targeting","Not on Target List","","-","Services","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Citibank","Cristy House","Hold Off","","","","","","","","Missing Data","Tier 1","","-","","","","","","","","","0","","Cristy House","TRUE","","","","","","0","","","","",""
"CITIC Capital Holdings Ltd.","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Citigroup","","","","","","","","","","","Not on Target List","","","","","","","","","","","0","","#N/A","#N/A","","","","","","","","","","",""
"citizenM Operations Holding BV","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Citizens","Cristy House","","","","","","","","","Missing Data","Tier 2","","-","","","","","","","","","0","","Cristy House","TRUE","","","","","","0","","","","",""
"City Developments Limited","Not targeting opportunity size","Client","","","","","","","","Not Targeting","Not on Target List","Singapore","GRESB, SBT, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"City of Richmond","Not targeting opportunity size","Hold Off","","NAM","","","","","","Not Targeting","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"City of Roseville","Not targeting opportunity size","Hold Off","","","","","","","","Not Targeting","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"City Office REIT","Not targeting opportunity size","Hold Off","Owner Operator","NAM","Public","Office - Class A","","","66","Not Targeting","Not on Target List","North America","CDP, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Citycon Oyj","","","","","","","","","","Missing Data","Not on Target List","","SBT, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Fiera Capital Corporation","Dan Baldauf","Inside Sales","Asset Management Firm","","","Multifamily, Light Industrial/Logistics, Retail/Mixed Use","","","","Missing Data","Not on Target List","North America","NZAM, UN PRI, -","-","","","","91015394","Fiera Capital","www.fieracapital.com","firstinitiallastname@fieracapital.com","0","-","#N/A","#N/A","","","","","","0","","","","",""
"CIVC Partners","Kendal Etling","","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"CJ Management","Not targeting opportunity size","Lost - Not Sold","","State/Regional","","Multifamily, Hotels, Office","","","","Not Targeting","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"CK Asset Holdings Limited","","","","","","","","","","Missing Data","Not on Target List","","SBT, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"CK Capital Value Fund","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Claros Mortgage Trust","Not targeting opportunity size","Hold Off","","","","","","","","Not Targeting","Not on Target List","","CDP, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Clayton, Dubilier & Rice","Rose Shaver","","","","","","","","","Missing Data","Tier 2","","-","","","","","","","","","0","","Rose Shaver","TRUE","","","","","","1","","","","",""
"Clean Energy Ventures Management, LLC","Not targeting opportunity size","Hold Off","","","","","","","","Not Targeting","Not on Target List","North America","NZAM, UN PRI, -","Not a real estate AM firm","","","","351970516","Clean Energy Venture Group LLC","www.cevg.com","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Clean Yeild Asset Management","","Hold Off","Asset Management Firm","NAM","Private","Diversified","","","200","07","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"CleanArch Data Centers","Rose Shaver","Hold Off","","","","","","","","Missing Data","Tier 2","","-","","","","","","","","","0","","Rose Shaver","TRUE","","","","","","0","","","","",""
"CleanSpark","Kendal Etling","","","","","","","","","Missing Data","Tier 2","","-","","","","","","","","","0","","Kendal Etling","TRUE","","","","","","0","","","","",""
"Clearbell Capital LLP","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Clearbell Strategic Managing Trustee Limited","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"ClearBridge Investments","Not targeting opportunity size","Lost - Not Sold","Asset Management Firm","Global","Private","","","","200","Not Targeting","Not on Target List","North America","NZAM, UN PRI, -","Not a real estate AM firm","","","ClearBridge Investments","8437892","ClearBridge Investments LLC","www.clearbridge.com","firstinitiallastname@clearbridge.com","0","","#N/A","#N/A","","","","","","0","","","","",""
"Climate Core Capital","","","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Clipper Realty","Not targeting opportunity size","Hold Off","Owner Operator","State/Regional","Public","Diversified","","","15","Not Targeting","Not on Target List","","CDP, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"First Capital REIT","Dan Baldauf","Inside Sales","Owner Operator","NAM","Private","Multifamily","","","150","05","Not on Target List","North America","GRESB, CDP, SBT, -","Connected and tried to push incentives","","","First Capital Realty Inc.","25561303","First Capital REIT","www.fcr.ca","firstname.lastname@fcrms.ca","0","-","#N/A","#N/A","","","","","","0","","","","",""
"Close Brothers Asset Management","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","United Kingdom","NZAM, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"FirstKey Homes, LLC","Dan Baldauf","Inside Sales","Owner Operator","NAM","Private","Multifamily, Single family","","3","10000","04","Not on Target List","North America","GRESB, -","","","","","371333770","FirstKey Homes LLC","www.firstkeyhomes.com/home","","0","-","#N/A","#N/A","","","","","","0","","","","",""
"Cloudera, Inc. (a Clayton, Dubilier & Rice co.)","Dan Baldauf","","","","","","","","","Missing Data","Not on Target List","North America","-","","","","","","","","","0","","#N/A","#N/A","","","","","","","","","","",""
"CloudHQ","Rose Shaver","Hold Off","Asset Management Firm","NAM","Private","Data Centers","","2","6","04","Not on Target List","North America","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Cloudhq LLC","Rose Shaver","Hold Off","","","","","","","","Missing Data","Tier 2","","-","","","","","398022371","CloudHQ LLC","","","0","","Rose Shaver","TRUE","","","","","","0","","","","",""
"Clove Lakes","Not targeting opportunity size","Hold Off","","State/Regional","","","","","","Not Targeting","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"CLS Holdings plc","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, SBT, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Club Quarters","Other Pod","Hold Off","Owner Operator","NAM","Private","","","","15","02","Not on Target List","","-","Tom D","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"CME Group","Cristy House","","","","","","","","","Missing Data","Tier 2","","-","","","","","","","","","0","","Cristy House","TRUE","","","","","","0","","","","",""
"CNL Healthcare Properties","","","","","","","","","","Missing Data","Not on Target List","","CDP, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"CNL Lifestyle Properties","","","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
